曲名,舞萌ID,舞萌类型,舞萌分类,舞萌谱面,舞萌BPM,舞萌版本,舞萌追加日期,舞萌是否锁定,舞萌别名,中二No.,中二分类,中二创作者,中二谱面,中二BPM,中二版本,中二别名
サヨナラチェーンソー,891,DX,niconico＆ボーカロイド,DX 4 | DX 6 | DX 9+ | DX 12,154,maimaiでらっくす,2019-12-20,否,サヨナラチェーンソー|再见电锯|电锯缘兔|电锯人|电锯,516,niconico,くらげP,STD 2 | STD 5 | STD 8 | STD 11+,154,AMAZON PLUS,再见了电锯
アポカリプスに反逆の焔を焚べろ,890,DX,maimai,DX 7 | DX 8 | DX 12 | DX 14,222,maimaiでらっくす,2019-12-13,否,アポカリプスに反逆の焔を焚べろ|于启示录上燃烧的叛逆火焰|反逆|apocalypse rebellious|在启示录上点燃叛逆的火焰|反逆焰,860,ゲキマイ,cosMo＠暴走AlterEgo,STD 4 | STD 8 | STD 13+ | STD 15,222,PARADISE LOST,反逆焰|800块|八百块钱
TEmPTaTiON,889,DX,maimai,DX 6 | DX 8 | DX 12+ | DX 14+,160,maimaiでらっくす,2019-12-13,否,temptation|小萝莉|百合咲|dy|小天使|塔铺忒深|引诱|mika|轻语|肯德基六翅桶|诱惑|百合咲低语|小萝莉的诱惑|百合咲mika|小萝莉耳语,1207,ゲキマイ,かねこちはる,STD 4 | STD 8 | STD 13+ | STD 15,160,SUN,诱惑|百合咲|肘击百合咲|temptation|man|曼巴|temp
太陽系デスコ,886,DX,niconico＆ボーカロイド,DX 4 | DX 6 | DX 9+ | DX 12,150,maimaiでらっくす,2019-11-29,否,太陽系デスコ|太阳系disco|👇🏻😐👆🏻👇🏻😐👆🏻|太阳系|太田顺也,608,niconico,ナユタン星人,STD 2 | STD 5 | STD 8 | STD 11,150,CRYSTAL,太阳系迪斯科
管弦楽組曲 第3番 ニ長調「第2曲（G線上のアリア）」BWV.1068-2,884,DX,オンゲキ＆CHUNITHM,DX 5 | DX 7+ | DX 10 | DX 13+,180,maimaiでらっくす,2019-11-15,否,管弦楽組曲 第3番 ニ長調「第2曲（g線上のアリア）」bwv.1068-2|g弦上的咏叹调|二长调|妹妹拉小提琴|小女孩齐打交|管弦乐|管弦乐组曲|g弦,423,イロドリミドリ,月鈴 那知（ヴァイオリン） 伴奏：イロドリミドリ,STD 3 | STD 7 | STD 12 | STD 14+,180,STAR PLUS,地雷|二长调|管弦乐组曲
Agitation！,883,DX,オンゲキ＆CHUNITHM,DX 5 | DX 7 | DX 10 | DX 12,163,maimaiでらっくす,2019-11-15,否,agitation！|agi|gbc|吉他姐2,548,イロドリミドリ,舞ヶ原高校軽音部,STD 3 | STD 5 | STD 9 | STD 11,163,AMAZON PLUS,
Yakumo >>JOINT STRUGGLE (2019 Update),881,DX,東方Project,DX 4 | DX 7+ | DX 11 | DX 13+,187,maimaiでらっくす,2019-11-01,否,yakumo >>joint struggle (2019 update)|2019|八云一家|八云紫|压裤摸|八云|yakumo,940,東方Project,くっちー (DARKSIDE APPROACH),STD 3 | STD 7 | STD 11 | STD 14+,187,PARADISE LOST,八云|八雲
"Little ""Sister"" Bitch",880,DX,東方Project,DX 4 | DX 7+ | DX 11 | DX 13+,185,maimaiでらっくす,2019-11-01,否,"little ""sister"" bitch|小妹妹臭婊子|bitch|lsb|婊子|小婊子|小婊妹|小sb|碧池",888,東方Project,t+pazolite,STD 4 | STD 6 | STD 9+ | STD 13+,185,CHUNITHM NEW,小标志|小姐姐
Titania,879,DX,オンゲキ＆CHUNITHM,DX 6 | DX 8 | DX 12 | DX 14+,212,maimaiでらっくす,2019-10-24,否,titania|踢他奶|蓝毛萝莉|体坛|江江|江江比✌️|qqn比耶|天卫三|tinan|双色球|缇坦妮娅|踢他娘|✌|泰坦尼亚|江江比耶|✌🏻|✌️|☁🐼✌|蓝毛小萝莉|二氧化钛|踢她娘,1018,ゲキマイ,xi,STD 5 | STD 8 | STD 13+ | STD 14+,212,CHUNITHM NEW PLUS,江江|江江比耶|泰坦尼亚|有栖|踢他娘
玩具狂奏曲 -終焉-,878,DX,オンゲキ＆CHUNITHM,DX 5 | DX 8 | DX 13 | DX 13+,130,maimaiでらっくす,2019-10-24,否,玩具狂奏曲 -終焉-|玩具|玩具狂奏曲|别急23|第五人格|玩具狂奏曲-终焉-,146,ORIGINAL,きくお,STD 5 | STD 9 | STD 13+ | STD 15,130,AIR,玩具|玩具狂奏曲|出生狂奏曲
福宿音屋魂音泉,876,DX,maimai,DX 4 | DX 7 | DX 10+ | DX 13,162,maimaiでらっくす,2019-10-18,否,福宿音屋魂音泉|魂音泉|福州温泉|福州男同|敬业福,838,ゲキマイ,魂音泉,STD 3 | STD 6 | STD 10 | STD 12+,162,PARADISE LOST,
アマツキツネ,872,DX,niconico＆ボーカロイド,DX 2 | DX 7 | DX 9 | DX 11+,190,maimaiでらっくす,2019-09-20,否,アマツキツネ|天狗|兰立忠|👍😁👍|刻俄柏|天狐,314,niconico,まらしぃ,STD 3 | STD 6 | STD 9 | STD 11+,190,STAR,天狐
星屑ユートピア,871,DX,niconico＆ボーカロイド,DX 3 | DX 7 | DX 10+ | DX 12+,240,maimaiでらっくす,2019-09-20,否,星屑ユートピア|星屑乌托邦|星屑,142,niconico,otetsu,STD 3 | STD 6 | STD 9+ | STD 11+,240,CHUNITHM PLUS,星屑
骸骨楽団とリリア,870,DX,niconico＆ボーカロイド,DX 3 | DX 7+ | DX 11 | DX 13,260,maimaiでらっくす,2019-09-20,否,骸骨楽団とリリア|👉🏻😕👈🏻|骸骨|莉莉亚|骸骨乐团|骸骨乐团与莉莉亚|腿子,881,niconico,トーマ,STD 2 | STD 6 | STD 10 | STD 12+ | STD 14+,260,CHUNITHM NEW,骸骨乐团
デンパラダイム,869,DX,niconico＆ボーカロイド,DX 3 | DX 7+ | DX 11+ | DX 13,220,maimaiでらっくす,2019-09-20,否,デンパラダイム|denparadigm|木棍入侵正方形他家|电波|传送带|电波范式,567,niconico,lumo,STD 4 | STD 7 | STD 10+ | STD 14,220,AMAZON PLUS,电波模范
だれかの心臓になれたなら,866,DX,niconico＆ボーカロイド,DX 3 | DX 6 | DX 9 | DX 11+,145,maimaiでらっくす,2019-08-22,否,だれかの心臓になれたなら|如果能成为谁的心脏的话|如果能成为谁的心脏|心脏,684,niconico,ユリイ・カノン,STD 2 | STD 6 | STD 8+ | STD 12+,145,CRYSTAL PLUS,想要成为谁的心脏
グリーンライツ・セレナーデ,865,DX,niconico＆ボーカロイド,DX 3 | DX 7 | DX 10 | DX 12+,200,maimaiでらっくす,2019-08-22,否,グリーンライツ・セレナーデ|魔法未来2018|绿光|绿光小夜曲|墨芷,714,niconico,Omoi,STD 3 | STD 6 | STD 9 | STD 13+,200,CRYSTAL PLUS,绿灯小夜曲|绿灯|绿光小夜曲
METEOR,864,DX,niconico＆ボーカロイド,DX 3 | DX 7 | DX 9 | DX 12,170,maimaiでらっくす,2019-08-22,否,meteor|流星|陨石,552,niconico,DIVELA,STD 3 | STD 5 | STD 9+ | STD 11+,170,AMAZON PLUS,
Blows Up Everything,863,DX,maimai,DX 5 | DX 9 | DX 11+ | DX 13+ | DX 14,215,maimaiでらっくす,2019-08-09,否,blows up everything|爆|6级白谱|吹|吹爆|bue|吹爆一切|拆爆|嘿嘿歌|吹吹爆|全都可以炸完！,994,ゲキマイ,USAO,STD 4 | STD 8+ | STD 13+ | STD 14,215,CHUNITHM NEW,吹爆
Jump!! Jump!! Jump!!,859,DX,オンゲキ＆CHUNITHM,DX 3 | DX 7 | DX 9 | DX 12,183,maimaiでらっくす,2019-07-26,否,jump!! jump!! jump!!|跳跳跳|jump|芳文跳|跳三下|元气少女蹦蹦蹦|三蹦子,1528,ゲキマイ,曲：宮崎誠／歌：オンゲキシューターズ,STD 3 | STD 6 | STD 9 | STD 12+,183,LUMINOUS,跳跳跳
アカリがやってきたぞっ,858,DX,niconico＆ボーカロイド,DX 3 | DX 6 | DX 10 | DX 12+,136,maimaiでらっくす,2019-07-26,否,アカリがやってきたぞっ|来了哦|akari|来了哟|阿卡莉|绁星灯|akari来了哦|来了|阿卡丽|小灯,605,niconico,GYARI,STD 2 | STD 5 | STD 8 | STD 13,136,CRYSTAL,绁星灯|akari来了哦
STARTLINER,857,DX,オンゲキ＆CHUNITHM,DX 2 | DX 6 | DX 9 | DX 11+ | DX 12,135,maimaiでらっくす,2019-07-26,否,startliner|音击|キミト|内鬼|きみと|君と|wifi满格,569,ゲキマイ,曲：kz(livetune)／歌：オンゲキシューターズ,STD 1 | STD 5 | STD 7+ | STD 10,135,AMAZON PLUS,起跑线
イカサマライフゲイム,856,DX,niconico＆ボーカロイド,DX 4 | DX 7+ | DX 10+ | DX 12+,200,maimaiでらっくす,2019-07-19,否,イカサマライフゲイム|预言小丑|人生游戏|lifegame|虚伪人生游戏|骗人的人生游戏|骗人的lifegame|作弊生存游戏|骗人的生命游戏,78,niconico,kemu,STD 3 | STD 6 | STD 9+ | STD 12+ | STD 14,200,CHUNITHM,骗人的life game
ナイト・オブ・ナイツ (Cranky Remix),854,DX,東方Project,DX 4 | DX 7 | DX 10 | DX 13,180,maimaiでらっくす,2019-07-11,否,ナイト・オブ・ナイツ (cranky remix)|nok2|夜骑|咲夜|夜骑remix|盗版夜骑|夜骑2|cranky夜骑|night of knights|dx夜骑|cranky也要当夜骑|十六夜咲夜|nok|remix夜骑,460,東方Project,ビートまりお × Cranky,STD 3 | STD 6 | STD 10 | STD 14,180,AMAZON,cranky夜骑|夜骑
メルティランドナイトメア,852,DX,niconico＆ボーカロイド,DX 2 | DX 6 | DX 8+ | DX 11+,140,maimaiでらっくす,2019-07-11,否,メルティランドナイトメア|春卷饭|可爱歌|melty|meltyland|梦魇|小粉|melty land nightmare|原子能酸菜,682,niconico,はるまきごはん,STD 2 | STD 6 | STD 8+ | STD 11,140,CRYSTAL PLUS,melty land nightmare
メルト,851,DX,niconico＆ボーカロイド,DX 3 | DX 6 | DX 8+ | DX 11+,170,maimaiでらっくす,2019-07-11,否,メルト|简笔画|melt|融化|熔化|x儿卜|叉儿卜,199,niconico,supercell,STD 2 | STD 5 | STD 8 | STD 11,170,AMAZON PLUS,melt|溶解
超常マイマイン,847,DX,maimai,DX 3 | DX 7 | DX 10 | DX 12+ | DX 13+,178,maimaiでらっくす,2019-07-11,否,超常マイマイン|咕噜咕噜|超常滴蜡熊|超常|大逼圈入门曲|超常maimai|旋转迪拉熊,1318,ゲキマイ,ナユタン星人,STD 3 | STD 5 | STD 10 | STD 12,178,SUN,超常maimai
MAXRAGE,844,DX,maimai,DX 5 | DX 7+ | DX 11 | DX 13+ | DX 14,222,maimaiでらっくす,2019-07-11,否,maxrage|暴怒|红按钮|极怒|😡|超雄|绝赞交互|迪卢克按按钮|樱雨|红温|迪卢克|满怒|超级生气|好生气|良怒2|红色重启|迪卢克按地雷|核按钮|巨他妈生气|小七|很生气|极限红温|气炸了|迪卢克按炸弹|气炸|狂怒|急怒|续标识|麻油按按钮,1320,ゲキマイ,EBIMAYO ,STD 4 | STD 9 | STD 12 | STD 14,222,SUN,满怒|极怒
Secret Sleuth,842,DX,maimai,DX 2 | DX 7 | DX 10+ | DX 13 | DX 13+,288,maimaiでらっくす,2019-07-11,否,secret sleuth|ss|兔爷快乐歌|言叶2|秘密侦探|咪咪蒸蛋,675,ゲキマイ,島爺×蜂屋ななし,STD 2 | STD 6 | STD 10+ | STD 13+,288,CRYSTAL PLUS,
BLACK ROSE,841,DX,maimai,DX 2 | DX 6 | DX 9+ | DX 12,145,maimaiでらっくす,2019-07-11,否,black rose|黑玫瑰|迪卢克|黑肉丝,839,ゲキマイ,S!N・+α/あるふぁきゅん。×ALI PROJECT,STD 2 | STD 5 | STD 9+ | STD 12,145,PARADISE LOST,
PANDORA PARADOXXX,839,STD,maimai,STD 7+ | STD 11 | STD 13+ | STD 14+ | STD 15,150,FiNALE,2019-05-10,否,pandora paradoxxx|潘多拉|最水15|天苍苍野茫茫|天苍苍野茫茫风吹草低见牛羊|kop5决赛二号曲|随个15|潘|今日舞萌|kop5官方严选|100日元|天苍苍，野茫茫，风吹草低见牛羊|新手教程|噔噔|很急|推荐乐曲排行榜|舞状元|原神|水15|潘多拉悖论|xxx|pp|特朗普和黄仁勋拼机|我有玉玉症|天苍苍|潘多拉魔盒|我有抑郁症|15级吃分推荐榜1|最简单15|盘,1895,ゲキマイ,削除,STD 6 | STD 11+ | STD 14+ | STD 15+,150,X-VERSE-X,
the EmpErroR,838,STD,maimai,STD 5 | STD 10+ | STD 13 | STD 14+ | STD 14+,240,FiNALE,2019-05-10,否,the emperror|↗️↘️↗️|钢琴冒烟的艺术家|皇帝|两小儿跳棋|农夫山泉|emperror|跳棋|👫|跳一跳|vinta|siesta|东海帝皇|俩跳棋|电子脉冲错误|西瓜皮|nenene|爱神|怡宝和农夫山泉|锅盖头跳棋|电磁脉冲错误|皇|农夫山泉和怡宝|刘禹锡|the emperor|刘禹锡三年理白帝|我的苦爱,813,ゲキマイ,sasakure.UK,STD 5 | STD 7+ | STD 13 | STD 14+,240,CHUNITHM NEW,皇帝|emperor|the emperor|jmt
雷切-RAIKIRI-,837,STD,maimai,STD 7 | STD 9 | STD 12+ | STD 14+ | STD 14+,165,FiNALE,2019-04-11,否,雷切-raikiri-|噔噔噔噔|两把刀|影刃|纯粹的强大|地雷女切手手|梦想一心|雷切|你们怎么解读出我和他切割的,1335,ゲキマイ,kanone,STD 3 | STD 9 | STD 12+ | STD 14+,165,SUN PLUS,雷切
Alea jacta est!,835,STD,maimai,STD 7 | STD 9+ | STD 12+ | STD 14 | STD 14+,162,FiNALE,2019-02-07,否,alea jacta est!|魂5|avemujica|黑人击剑|🤺|木已成舟|骰子已经掷下|宝可梦剑盾|aj|农具打架|求求你们不要再打啦|科比肘击詹姆斯|骰子已被掷下|孤注一掷|击剑|2025春晚|种植园纷争|黑人打架|aje|打架|种植园纠纷|黑人打胶|🗿|白人打架|种植园争端|你们不要再打辣|覆水难收|破釜沉舟,767,ゲキマイ,BlackY fused with WAiKURO,STD 3 | STD 8 | STD 13 | STD 14+,162,PARADISE,黑人|黑人打架|击剑
QZKago Requiem,833,STD,maimai,STD 7 | STD 10+ | STD 13 | STD 14+ | STD 14+,257,FiNALE,2018-12-18,否,qzkago requiem|茄子|巧克力大战香子兰|🍆|嵯峨大战凯尔希|茄子卡狗|猫中毒|哪吒大战敖丙|两只猫打架|茄|凯尔希大战嵯峨|白毛貓耳樣の敗北|猫猫打架|毒牛奶|猫咪打架|猫娘打架|假奶害死猫|安魂曲|羊村守护者11|w4喜羊羊对战彩框喜羊羊|喜洋洋与灰太狼|🍆💳🐶|喜羊羊vs暗黑喜羊羊|毒牛奶害人不浅|垃圾桶安魂曲|茄皇|mr为什么能自选两首|fantastic clear!|qz,1160,ゲキマイ,t+pazolite,STD 5 | STD 8+ | STD 13+ | STD 15,257,CHUNITHM NEW PLUS,茄子|🍆💳🐶|qz|🍆|雅迪|茄子卡狗|黑猫打白猫|gdp2|毒牛奶|巧克力大战香子兰|铃芽之旅|猫打架|牛奶2|对立大战光光|猫中毒
End Time,832,STD,ゲーム＆バラエティ,STD 5 | STD 9 | STD 12+ | STD 14+,180,FiNALE,2019-06-07,否,end time|endtime|et|终时|伊岛|终焉时刻|最后的老时|终章|结束啦|终焉之时|终末之时,434,VARIETY,Cres.,STD 3 | STD 8 | STD 13+ | STD 15,180,AMAZON,雅迪|et
Imperishable Night 2006 (2016 Refine),829,STD,東方Project,STD 5 | STD 8+ | STD 12 | STD 13+,161,FiNALE,2019-05-24,否,imperishable night 2006 (2016 refine)|灵梦玩火|永夜抄2006|2006|2016|永夜抄,227,東方Project,ゆうゆ / 篠螺悠那,STD 4 | STD 7+ | STD 11+ | STD 14+,161,AIR,2006
最終鬼畜妹フランドール・S,827,STD,東方Project,STD 4 | STD 7+ | STD 11 | STD 12 | STD 13+,200,FiNALE,2019-05-24,否,最終鬼畜妹フランドール・s|二小姐|蓝蓝路|最终鬼畜妹|鬼畜妹|二妹|最终鬼畜妹s|最终鬼畜妹芙兰朵露,584,東方Project,ビートまりお(COOL＆CREATE),STD 4 | STD 7 | STD 10+ | STD 14 | STD 14+,200,CRYSTAL,最终鬼畜妹|鬼畜妹
Altale,826,STD,ゲーム＆バラエティ,STD 4 | STD 8 | STD 12 | STD 13+,90,FiNALE,2019-05-10,否,altale|tga年度最佳|开心的小曲儿|别急2|阿泰尔|机器人|削除的电线|你先别急|机器人钓鱼|电线|漏电电线|天线,87,VARIETY,削除,STD 3 | STD 5 | STD 9+ | STD 13+,90,CHUNITHM,altale
命ばっかり,824,STD,niconico＆ボーカロイド,STD 4 | STD 7+ | STD 10 | STD 12+,128,FiNALE,2019-04-26,否,命ばっかり|命没|沙发太|蓝色男人坐沙发|只有命|只为生命|命|全是命,564,niconico,ぬゆり,STD 2 | STD 5 | STD 8 | STD 11+,128,AMAZON PLUS,只为生命
Lost Princess,821,STD,ゲーム＆バラエティ,STD 4 | STD 7 | STD 10 | STD 11 | STD 12,150,FiNALE,2019-04-11,否,,967,POPS & ANIME,ペコリーヌ（M・A・O）、コッコロ（伊藤美来）、キャル（立花理香）「プリンセスコネクト！Re:Dive」,STD 2 | STD 5 | STD 9 | STD 11+,150,,失落公主
true my heart -Lovable mix-,819,STD,POPS＆アニメ,STD 4 | STD 7 | STD 10 | STD 12,135,FiNALE,2019-03-22,否,true my heart -lovable mix-|真我心|打电话,251,POPS & ANIME,ave;new feat.佐倉紗織,STD 2 | STD 5 | STD 8 | STD 11+,135,AIR PLUS,
ラブって♡ジュエリー♪えんじぇる☆ブレイク！！,817,STD,POPS＆アニメ,STD 6 | STD 8 | STD 11+ | STD 13,238,FiNALE,2019-03-22,否,ラブって♡ジュエリー♪えんじぇる☆ブレイク！！|快盗天使break|刺猬,410,POPS & ANIME,あべにゅうぷろじぇくと feat.天月めぐる＆如月すみれ「ツインエンジェルBREAK」,STD 3 | STD 5 | STD 8+ | STD 13,238,STAR PLUS,
奏者はただ背中と提琴で語るのみ,816,STD,オンゲキ＆CHUNITHM,STD 7 | STD 9 | STD 12 | STD 13+,230,FiNALE,2019-03-08,否,奏者はただ背中と提琴で語るのみ|月玲那知|月玲妹妹躺沙发|美少女躺沙发|奏者|奏者背后的提琴在说话|提琴,330,イロドリミドリ,月鈴 那知(CV:今村 彩夏),STD 4 | STD 7 | STD 10+ | STD 14,230,STAR,
イロトリドリのメロディ,815,STD,オンゲキ＆CHUNITHM,STD 3 | STD 7 | STD 10+ | STD 12+,140,FiNALE,2019-03-08,否,イロトリドリのメロディ|小仏凪|彩绿之歌|多彩旋律|端茶,340,イロドリミドリ,小仏 凪(CV:佐倉 薫),STD 3 | STD 5 | STD 9 | STD 13+,140,STAR,
-OutsideR:RequieM-,814,STD,オンゲキ＆CHUNITHM,STD 4 | STD 7+ | STD 11 | STD 13+,181,FiNALE,2019-03-08,否,-outsider:requiem-|拉面|🍜|妹子嗦面|outsider|嗦拉面|吃面|我和我的泡面|杯面|泡面|阿梓喵吃面|吃拉面|吃泡面|猫吃面,345,イロドリミドリ,箱部 なる(CV:M・A・O),STD 3 | STD 6 | STD 10+ | STD 13+,181,STAR,
White Traveling Girl,813,STD,東方Project,STD 4 | STD 7+ | STD 10+ | STD 13,154,FiNALE,2019-02-22,否,white traveling girl|wtg|白旅女|白色旅行女孩|白色旅行少女|萃香|西瓜fumo|白色旅人,522,東方Project,A-One,STD 2 | STD 6 | STD 9 | STD 12,154,AMAZON PLUS,
【東方ニコカラ】秘神マターラ feat.魂音泉【IOSYS】,811,STD,東方Project,STD 5 | STD 8 | STD 11+ | STD 13,168,FiNALE,2019-02-22,否,【東方ニコカラ】秘神マターラ feat.魂音泉【iosys】|秘神摩多罗|东方〇起|东方勃起|见前|秘神,525,東方Project,ARM (IOSYS),STD 2 | STD 5 | STD 9 | STD 13+,168,AMAZON PLUS,
Kattobi KEIKYU Rider,808,STD,オンゲキ＆CHUNITHM,STD 7 | STD 9 | STD 13 | STD 13+,220,FiNALE,2019-02-07,否,kattobi keikyu rider|收到|电车妹|京急线|叮叮叮|丁丁电车|京急|电车骑士|五块钱|电车娘|电车|京急电车|松江有轨|列车|叮叮叮叮叮|爱上火车|叮叮电车|丁丁车|叮叮车|呦西哟西|京急电铁|电车难题|新干线,310,ORIGINAL,Sampling Masters MEGA,STD 4 | STD 8 | STD 13 | STD 14+,220,STAR,叮叮电车|叮叮|电车|叮叮车
TiamaT:F minor,794,STD,オンゲキ＆CHUNITHM,STD 7 | STD 10 | STD 13 | STD 14+,215,FiNALE,2018-12-13,否,"tiamat:f minor|白豆|提亚马特|tfboys|黑神话|绝赞交互|猩猩歌|大猩猩|提提，提提提|手感提|猩猩比|提一提|黑神话悟空|m t:f|tiama t:fboys|🦍🦍,🦍🦍🦍|🦍|提亚玛特|tf|健身教练|泡泡玛特|ttf|猩手教程|提|提提，提提提！|猩猩|tf boys",173,ORIGINAL,Team Grimoire,STD 4 | STD 9+ | STD 13+ | STD 15,215,AIR PLUS,提亚马特|提|大猩猩|猩猩|猩|提暗示|提暗示？|提提提|提你妈|不要再提了
セイクリッド　ルイン,793,STD,ゲーム＆バラエティ,STD 7 | STD 9+ | STD 12+ | STD 13+,186,FiNALE,2018-12-13,否,セイクリッド ルイン|肾虚|太鼓达人|圣灭|圣墟,332,VARIETY,Drop＆祇羽 feat. 葉月ゆら「太鼓の達人」より,STD 3 | STD 7 | STD 11 | STD 14,186,STAR,
Scarlet Lance,792,STD,ゲーム＆バラエティ,STD 6 | STD 9 | STD 12+ | STD 14,185,FiNALE,2018-12-13,否,scarlet lance|麒麟X夜刀|红烧狮子头|朗基努斯之枪|红色紧身裤|狗含剑|红叉|火枪|斯卡雷特开源|红枪|叉子|朗基努斯枪|斯卡雷特开元|狗罕见|苍响|红温叉子|狗叼戟,334,VARIETY,MASAKI（ZUNTATA）「グルーヴコースター 3EX ドリームパーティー」より,STD 4 | STD 7+ | STD 12 | STD 14+,185,STAR,红枪|sl|戟|红叉
極圏,791,STD,ゲーム＆バラエティ,STD 6 | STD 9 | STD 12+ | STD 14,207,FiNALE,2018-12-13,否,極圏|sdvx|極圈|急圈|🐔⭕|极圈|只因圈|寄圈|🐔⭕️|鸡圈|肌肉奶龙|鸡犬,333,VARIETY,cosMo VS dj TAKA「SOUND VOLTEX」より,STD 4 | STD 7 | STD 11+ | STD 14+,207,STAR,NTR|黄毛|极圈|人妻
ロキ,789,STD,niconico＆ボーカロイド,STD 4 | STD 8 | STD 10+ | STD 11+ | STD 13,150,FiNALE,2018-12-13,否,ロキ|roki|洛基|嘴巴吃烤串|口干|ruaki|㕩|口≠|口丰|信者|口不等号|口半,506,niconico,みきとP,STD 2 | STD 5 | STD 9 | STD 12 | STD 14,150,AMAZON,roki
ヒバナ,788,STD,niconico＆ボーカロイド,STD 5 | STD 8 | STD 11 | STD 12 | STD 13,200,FiNALE,2018-12-13,否,ヒバナ|匕八十|大狙架miku|狙击初音未来|狙击初音|匕八卜|七八十|fufu遇刺|火花|hibana|k杀|爆头初音|初音未来被爆头|初音爆头|tsubaki|大狙架初音|7810|狙击fufu|大狙怼脸|狙初音|狙击小日本|狙击miku|大狙架fufu,583,niconico,DECO*27,STD 3 | STD 6 | STD 9+ | STD 13+ | STD 14,200,CRYSTAL,火花|七八十|7810
ネ！コ！,786,STD,POPS＆アニメ,STD 5 | STD 7+ | STD 10+ | STD 12+,182,FiNALE,2018-12-13,否,ネ！コ！|nero|neko|流浪猫之心|野良猫|ne！ko！|节粮猫|zood|猫|ネコ|咪咪,405,POPS & ANIME,パトリシア・オブ・エンド(CV：高森奈津美)、黒木 未知(CV：仙台エリ)、夕莉 シャチ(CV：浅川悠)、明日原 ユウキ(CV：種﨑敦美)「ノラと皇女と野良猫ハート」,STD 3 | STD 6 | STD 9 | STD 11+ | STD 14,182,STAR PLUS,
My First Phone,784,STD,オンゲキ＆CHUNITHM,STD 6 | STD 8+ | STD 12+ | STD 13+,114,MiLK PLUS,2018-12-04,否,my first phone|爷の手机|别急20|中二的雨|手机|电话|☎️|小灵通|我的第一部手机|别急3|座机|👴的第一部手机,20,ORIGINAL,cubesato,STD 2 | STD 6 | STD 10 | STD 14,114,CHUNITHM,我的手机|我的第一个手机|小灵通|iPhone15ProMax
怒槌,783,STD,オンゲキ＆CHUNITHM,STD 7 | STD 9+ | STD 13 | STD 14+,200,MiLK PLUS,2018-12-04,否,怒槌|怒锤|😡👊|该罚|愤怒的锤子|ikazuchi|努吹|梅西哥打交|怒捶|😡🔨|神之一锤,116,ORIGINAL,光吉猛修,STD 6 | STD 9+ | STD 14 | STD 15,200,CHUNITHM,怒锤|屎|初代大便|怒怒|理财产品|把你妈妈抓走|怒！！
SILENT BLUE,782,STD,maimai,STD 6 | STD 8+ | STD 12+ | STD 14+,210,MiLK PLUS,2018-12-04,否,silent blue|水晶迪克|sb|↓↑|乙醇姬|色篮|静蓝|蓝绿|四块钱|默蓝|静谧的蓝|水神9,1457,ゲキマイ,かねこちはる,STD 4 | STD 7+ | STD 13 | STD 14,210,LUMINOUS,sb|静蓝
フィクサー,781,STD,niconico＆ボーカロイド,STD 4 | STD 7+ | STD 10 | STD 13,135,MiLK PLUS,2018-11-20,否,フィクサー|黑山羊吃席|fixer|修人|黑暗海底谭|牛头人喝酒|黑山羊,747,niconico,ぬゆり,STD 2 | STD 5 | STD 9+ | STD 13,135,CRYSTAL PLUS,fixer
はやくそれになりたい！,780,STD,niconico＆ボーカロイド,STD 6 | STD 8 | STD 10+ | STD 11+ | STD 13,185,MiLK PLUS,2018-11-20,否,はやくそれになりたい！|音街鳗|音街|😫|想快点成为那个样子|i wanna be it|蓝瓶尖叫|想快点变成那个样子,518,niconico,キノシタ feat. 音街ウナ,STD 3 | STD 6 | STD 8 | STD 12+,185,AMAZON PLUS,音街鳗
このふざけた素晴らしき世界は、僕の為にある,778,STD,niconico＆ボーカロイド,STD 4 | STD 7+ | STD 10+ | STD 12+,152,MiLK PLUS,2018-11-20,否,,154,niconico,n.k,STD 3 | STD 5 | STD 8 | STD 12,152,CHUNITHM PLUS,
花と、雪と、ドラムンベース。,777,STD,maimai,STD 6 | STD 8+ | STD 12+ | STD 14 | STD 13+,180,MiLK PLUS,2018-11-06,否,花と、雪と、ドラムンベース。|雪鸡|花雪一堆日本字|冬之花|别急6|花😋、雪🤤、😘😨🥵🤢😈🤣😅。|四月的雪|舞萌金曲|快慢刀|🌸❄️|六块钱|🌸1⃣️🛞|花一轮|雪球|花雪|昭和金曲|花，雪和bass|花花花花花花一轮|🌸①🛞|间奏9秒|昭和女人|ktv金曲,996,ゲキマイ,kanone feat. せんざい,STD 3 | STD 5 | STD 10+ | STD 14+,180,CHUNITHM NEW,花一轮
We Gonna Journey,773,STD,オンゲキ＆CHUNITHM,STD 7 | STD 9 | STD 12+ | STD 13+,160,MiLK PLUS,2018-10-25,否,we gonna journey|wgj|我们要旅行|王国军|我们去旅行|红色长角|我们去旅游,64,ORIGINAL,Queen P.A.L.,STD 3 | STD 6 | STD 11 | STD 14 | STD 14+,160,CHUNITHM,我们要旅行|wgj|我与神祖共旅行
あねぺったん,772,STD,オンゲキ＆CHUNITHM,STD 5 | STD 8 | STD 10+ | STD 13,180,MiLK PLUS,2018-10-16,否,あねぺったん|便当|假酒|月铃姐妹|姐姐好平|醋溜便当|彩绿便当歌,279,イロドリミドリ,月鈴姉妹(イロドリミドリ),STD 3 | STD 6 | STD 9 | STD 12,180,AIR PLUS,
