No.,乐曲类型,曲名,类型,难易度,等级,谱面定数,BPM,版本,追加日期,是否锁定,别名
1100,DX,紅星ミゼラブル～廃憶編,DX,MASTER,13,13.2,160,UNiVERSE (宙),2021-11-12,否,紅星ミゼラブル～廃憶編|蕾米莉亚吹滴答|红星|蕾米吹小号|蕾米吹喇叭|蕾米吹zun号|蕾米莉亚吹喇叭|蕾米莉亚吹小号
1099,DX,Sweets Time,DX,MASTER,13,13.1,150,UNiVERSE (宙),2021-11-12,否,sweets time|强强虫|芙兰数星星|小幸隐|迪士尼乐园|甜时间|甜蜜时光
1098,DX/STD,Technicians High,DX,MASTER,13,13.4,165,でらっくす (熊),2019-08-09,否,technicians high|蓝的盆|高科技|标准科技高|科技很高|科技高|dx科技高|科技
1091,DX,MOBILYS,DX,MASTER,13,13.1,144,UNiVERSE (宙),2021-10-01,否,mobilys|困锁的灯|橘子怪兽二|摸比利|灯笼|灯泡|灯球|💡|光球|灯灯灯灯|电灯泡
1089,DX,アンビバレンス,DX,MASTER,13,13,187,UNiVERSE (宙),2021-09-22,否,アンビバレンス|言叶5|ambivalence|我喜欢阿瓦鲁|二律背反|矛盾心理|穿心
1088,DX,Southern Cross,DX,MASTER,13,13.2,171,UNiVERSE (宙),2021-09-22,否,southern cross|南方十字|特大|南十字星|全是交互|麦当劳1+1|南十字|南十字深深封印|噩梦之城|打交神曲|403|♂十字|守护南十字星|舞萌特大|🌟|1+1|一加一|打交|商场跑圈|舞立方体验票|星星保卫战|绕着商场跑一圈|鼓手模拟器|和ysk猜拳
1082,DX,イヤホンロマンス,DX,MASTER,13,13.1,132,UNiVERSE (宙),2021-09-16,否,
1078,DX,トリアージ,DX,MASTER,13,13.3,180,UNiVERSE (宙),2021-09-16,否,トリアージ|碑谷|纪念碑谷|triage|分诊|多米诺骨牌
1077,DX,噛み係,DX,MASTER,13,13.5,148,UNiVERSE (宙),2021-09-16,否,噛み係|神灵附体|噛係|啮系|咬系|齿系|啮|大教堂|96猫
1073,DX,Splash Dance!!,DX,MASTER,13,13.4,155,Splash+ (煌),2021-09-03,否,splash dance!!|五个音击小女孩|爽舞|水花之舞|泳装2|splash dance|飞溅之舞
1069,DX,アルティメットセンパイ,DX,MASTER,13,13.1,145,Splash+ (煌),2021-08-20,否,アルティメットセンパイ|究极先辈|小黄毛|先辈|究极前辈
1062,DX,ディカディズム,DX,MASTER,13,13.2,124,Splash+ (煌),2021-08-05,否,ディカディズム|皇帝小兵|皇帝排队|年代主义|decadism
1058,DX,キラメキ居残り大戦争,DX,MASTER,13,13.2,212,Splash+ (煌),2021-07-09,否,キラメキ居残り大戦争|女同大战争|居残|女同2|女同歌|大战争|居残大战争|女同大作战
1052,DX,トランスダンスアナーキー,DX,MASTER,13,13.5,195,Splash+ (煌),2021-06-11,否,トランスダンスアナーキー|trance|尬舞姐妹|女同9|trance dance anarchy
1051,DX,ハウリング,DX,MASTER,13,13.1,184,Splash+ (煌),2021-06-11,否,ハウリング|黄灵梦|黄|yellow|howling|嚎叫
1050,DX,下克上々,DX,MASTER,13,13,164,Splash+ (煌),2021-06-11,否,下克上々|少女炼狱2|0克1|田忌赛马|正邪|下克上
1041,DX,ALiVE,DX,MASTER,13,13.2,170,Splash+ (煌),2021-05-14,否,alive|余华|嗷呜|活着|活
1040,DX,ベースラインやってる？笑,DX,MASTER,13,13.4,128,Splash+ (煌),2021-05-14,否,ベースラインやってる？笑|lol|变态萝莉|bassline|什么什么笑|颜文字|女流氓|妹妹v50|痴女nanahira|学妹恰个v|女痴汉|笑|nanahira|舞时|妹妹恰个v|ななひら|要来段bassline吗？笑
1036,DX,届かない花束,DX,MASTER,13,13.1,180,Splash+ (煌),2021-04-28,否,届かない花束|传达不到的花束|花束|送不到的花束|届不到的花束|届花束
1034,DX,Rush-More,DX,MASTER,13,13.5,160,Splash+ (煌),2021-04-16,否,rush-more|rush|冲多|冲多了|冲多点|冲很多|冲更多|rushmore|多冲点|交友不慎|rush more|削除冲多了|多冲
1031,DX,みなえをチェック！,DX,MASTER,13,13,178,Splash+ (煌),2021-04-09,否,みなえをチェック！|美苗|口水歌|指挥棒|注目
1030,DX,単一指向性オーバーブルーム,DX,MASTER,13,13.2,158,Splash+ (煌),2021-04-09,否,単一指向性オーバーブルーム|开花|单一指向性|单向性|单一|单一手癖性|大额头
1021,DX,ロストワードクロニカル,DX,MASTER,13,13.4,184,Splash+ (煌),2021-03-18,否,ロストワードクロニカル|东方归言录|lostword|归言录|lost word chronicle|东方号哭|lw|东方lostword|归言录编年史
1020,DX,KING,DX,MASTER,13,13,166,Splash+ (煌),2021-03-18,否,king|汉堡王|👑|姐就是女王|无名指抠牙|剔牙|浮游生物|小夫|无名指扣牙|burger king|霸者|王|哈哈你是王
1014,DX,時計の国のジェミニ,DX,MASTER,13,13,180,Splash+ (煌),2021-03-18,否,時計の国のジェミニ|时针之国|时针|钟表之国|时计|时针国|时计之国|时钟|时钟之国|时之国|时计国|时钟国
1012,DX,Paradisoda,DX,MASTER,13,13.1,135,Splash+ (煌),2021-03-18,否,paradisoda|侧漏|苏打|天堂汽水|sp+主题曲|soda|天堂苏打|splashplus主题曲|splash+主题曲|苏打天堂|泳装乙姬|快乐水
1008,DX,トリドリ⇒モリモリ！Lovely fruits☆,DX,MASTER,13,13.2,185,Splash (爽),2021-03-04,否,トリドリ⇒モリモリ！lovely fruits☆|美亚|水果摊子|可爱的水果|水果歌|喵呼|合成大西瓜|可爱水果|水果
1007,DX,ポケットからぬりつぶせ！,DX,MASTER,13,13.2,126,Splash (爽),2021-03-04,否,ポケットからぬりつぶせ！|三小只|口袋涂鸦
1002,DX,Dive into The Sky ～initialized～,DX,MASTER,13,13,165,Splash (爽),2021-02-05,否,dive into the sky ～initialized～|dive|潜入天空|风神少女|dive into the sky
1000,DX,物凄いヴァイブスで魔理沙が物凄いラップ,DX,MASTER,13,13.4,173,Splash (爽),2021-02-05,否,物凄いヴァイブスで魔理沙が物凄いラップ|妹红吸烟|藤原妹红抽大烟|物凄|魔理沙抽烟|妹红打永夜抄|vibes|消声器|夜店魔理沙|妹红抽烟|物凄魔理沙
996,DX,劣等上等,DX,MASTER,13,13.2,160,Splash (爽),2021-01-21,否,劣等上等
986,DX,ユメヒバナ,DX,MASTER,13,13.4,151,Splash (爽),2020-12-11,否,ユメヒバナ|梦之火花|掉毛小哥哥|梦火花
982,DX,レーイレーイ,DX,MASTER,13,13.2,188,Splash (爽),2020-11-27,否,レーイレーイ|星野爱|荷珀|抓鬼|捉鬼|抓鬼星野爱|三色幽灵|幽灵|胡桃
977,DX,デリヘル呼んだら君が来た,DX,MASTER,13,13.1,190,Splash (爽),2020-10-30,否,デリヘル呼んだら君が来た|粉毛|卡姿兰大眼睛|叫了应召女郎结果来的是你|呼君来|应召女郎
971,DX,Aetheric Energy,DX,MASTER,13,13.4,205,Splash (爽),2020-10-16,否,aetheric energy|ae|❤|以太能量|应用工程|亚当重锤|壱王
967,DX,ガランド,DX,MASTER,13,13,93,Splash (爽),2020-10-01,否,ガランド|别急3.5|触手|噬菌体|garando|airhead|空气头|罐头章鱼|黑色树枝|易拉罐
966,DX,絶え間なく藍色,DX,MASTER,13,13.4,125,Splash (爽),2020-10-01,否,絶え間なく藍色|绝蓝|绝间蓝色|无尽的蓝色|绝间蓝|蓝色|无尽之蓝|无尽蓝色|超羽天狼星|绝绝子蓝色|小海底潭
959,DX,アンクローズ・ヒューマン,DX,MASTER,13,13.2,178,Splash (爽),2020-09-17,否,アンクローズ・ヒューマン|敬爱|玻璃心|unclosehuman|unclosed human|unclose human|里表情人2|永不落幕的人
953,DX,Boys O’Clock,DX,MASTER,13,13.1,262,Splash (爽),2020-09-17,否,boys o’clock|男同时间到|男同时刻|tfboys|男同时间|男孩时间
952,DX,ぼくたちいつでも　しゅわっしゅわ！,DX,MASTER,13,13,132,Splash (爽),2020-09-17,否,ぼくたちいつでも しゅわっしゅわ！|休哇休哇|咻哇咻哇|彩黑|修车|柠檬熊|雨刮器2|修哇修哇|阿驿|修哇|splash主题曲|丸山彩|happyhappy|咻哇|雪碧
950,DX,popcorn,DX,MASTER,13,13.2,130,でらっくす+ (華),2020-09-04,否,popcorn|高松灯|企鹅警长|帝企哥|出警|企鹅物流|爆米花
937,DX,アスヘノBRAVE,DX,MASTER,13,13,150,でらっくす+ (華),2020-07-17,否,アスヘノbrave|brave
936,DX,すーぱーぬこになれんかった,DX,MASTER,13,13.2,190,でらっくす+ (華),2020-07-17,否,すーぱーぬこになれんかった|投降猫|超级猫|没能成为超级猫猫|无法成为超级猫猫|超猫2|没变成猫猫|蓝蓝路|超级猫咪|猫咪|变不成猫|超级猫猫
934,DX,共鳴,DX,MASTER,13,13.2,174,でらっくす+ (華),2020-07-03,否,共鳴|共鸣
932,DX,Stardust Memories,DX,MASTER,13,13,180,でらっくす+ (華),2020-07-03,否,stardust memories|星尘记忆|sm|星尘回忆|🌍|🌏
930,DX,ワードワードワード,DX,MASTER,13,13.4,137,でらっくす+ (華),2020-06-26,否,ワードワードワード|hudelou|豪华海底潭|touch海底谭|word word word|二位一体|旋转胡德路|哇多哇多哇多|touch海底潭|dx海底谭|dx海底潭|www|wordwordword
923,DX,ブレインジャックシンドローム,DX,MASTER,13,13.3,204,でらっくす+ (華),2020-03-19,否,ブレインジャックシンドローム|墨镜女歌手|利香|吉他|夜空梅露|话筒姐|头脑风暴|杰克逊综合症|头脑风暴综合症|内内内|brainjack syndrome|拽女唱歌|墨镜女
922,DX,Flashkick,DX,MASTER,13,13.2,175,でらっくす+ (華),2020-03-19,否,flashkick|黄色闪光|滑铲|闪电旋风踢|闪电旋风劈|flash|闪击|闪踢
918,DX,バイオレンストリガー,DX,MASTER,13,13.2,196,でらっくす+ (華),2020-03-06,否,バイオレンストリガー|jerry|危险扳机|暴力扳机|陶大冲|扳机|暴力板机|暴力拆机|杰瑞|megumegu
908,DX,ソリッド,DX,MASTER,13,13.4,222,でらっくす+ (華),2020-01-23,否,ソリッド|大穷鬼|大贫民|大穷比|solid|大穷逼
898,DX,ここからはじまるプロローグ。,DX,MASTER,13,13.4,182,でらっくす+ (華),2020-01-23,否,ここからはじまるプロローグ。|从此开始的序章|从现在开始的序曲|小狐狸|福瑞举剑|prologue|小生煎|口口一夕|兽太|福瑞小英雄|猫圣剑|电子福瑞|由此开始的序章|序章|福瑞控|小圣剑|小福瑞|像素福瑞|像素圣剑|圣剑0|prologue starting|福瑞勇者|狐狸剑|松鼠|序言|福瑞救老婆|小福瑞找对象|从这里开始的序章
893,DX,BOKUTO,DX,MASTER,13,13.4,188,でらっくす (熊),2020-01-10,否,bokuto|→↓→↓→↓→↓|破裤头|剥裤头|波裤头
877,DX,Now or Never,DX,MASTER,13,13.5,202,でらっくす (熊),2019-10-18,否,now or never|机不可失时不再来|non|现在或从不|时不我待
876,DX,福宿音屋魂音泉,DX,MASTER,13,13,162,でらっくす (熊),2019-10-18,否,福宿音屋魂音泉|魂音泉|福州温泉|福州男同|敬业福
875,DX,キリキリ舞Mine,DX,MASTER,13,13.4,168,でらっくす (熊),2019-10-18,否,キリキリ舞mine|キリキリ|舞mine|girigiri舞|kirikiri
870,DX,骸骨楽団とリリア,DX,MASTER,13,13.4,260,でらっくす (熊),2019-09-20,否,骸骨楽団とリリア|👉🏻😕👈🏻|骸骨|莉莉亚|骸骨乐团|骸骨乐团与莉莉亚|腿子
869,DX,デンパラダイム,DX,MASTER,13,13.3,220,でらっくす (熊),2019-09-20,否,デンパラダイム|denparadigm|木棍入侵正方形他家|电波|传送带|电波范式
854,DX,ナイト・オブ・ナイツ (Cranky Remix),DX,MASTER,13,13.2,180,でらっくす (熊),2019-07-11,否,ナイト・オブ・ナイツ (cranky remix)|nok2|夜骑|咲夜|夜骑remix|盗版夜骑|夜骑2|cranky夜骑|night of knights|dx夜骑|cranky也要当夜骑|十六夜咲夜|nok|remix夜骑
846,DX,P-qoq,DX,MASTER,13,13.2,175,でらっくす (熊),2019-07-11,否,p-qoq|灯射来红|qoq|激光火箭|oppo|星际拉面快递|拉面火箭|孔雀
842,DX,Secret Sleuth,DX,MASTER,13,13.3,288,でらっくす (熊),2019-07-11,否,secret sleuth|ss|兔爷快乐歌|言叶2|秘密侦探|咪咪蒸蛋
840,DX/STD,Believe the Rainbow,DX,MASTER,13,13,133,PRiSM+ (彩),2019-05-10,否,believe the rainbow|🌈|北面|别信彩虹|辉代主题曲|相信彩虹|彩虹|彩虹六号|相信LGBT|btr|彩虹桥|相信彩虹1|track 4/3|星星博物馆
840,DX/STD,Believe the Rainbow,STD,MASTER,13,13.4,133,FiNALE (輝),2019-05-10,否,believe the rainbow|🌈|北面|别信彩虹|辉代主题曲|相信彩虹|彩虹|彩虹六号|相信LGBT|btr|彩虹桥|相信彩虹1|track 4/3|星星博物馆
822,STD,敗北の少年,STD,MASTER,13,13.4,185,FiNALE (輝),2019-04-26,否,敗北の少年|败北|败北的少年|黑丝破洞|败北少年|ysk
818,STD,ガチャガチャきゅ～と・ふぃぎゅ@メイト,STD,MASTER,13,13.2,178,FiNALE (輝),2019-03-22,否,
817,STD,ラブって♡ジュエリー♪えんじぇる☆ブレイク！！,STD,MASTER,13,13.2,238,FiNALE (輝),2019-03-22,否,ラブって♡ジュエリー♪えんじぇる☆ブレイク！！|快盗天使break|刺猬
813,STD,White Traveling Girl,STD,MASTER,13,13.4,154,FiNALE (輝),2019-02-22,否,white traveling girl|wtg|白旅女|白色旅行女孩|白色旅行少女|萃香|西瓜fumo|白色旅人
811,STD,【東方ニコカラ】秘神マターラ feat.魂音泉【IOSYS】,STD,MASTER,13,13.4,168,FiNALE (輝),2019-02-22,否,【東方ニコカラ】秘神マターラ feat.魂音泉【iosys】|秘神摩多罗|东方〇起|东方勃起|见前|秘神
806,STD,L4TS:2018 (feat. あひる & KTA),STD,MASTER,13,13.3,190,FiNALE (輝),2019-02-07,否,l4ts:2018 (feat. あひる & kta)|小奶子伊蕾娜|宵崎奏|银发女孩|小七走|绫地宁宁|白毛萝莉|l4ts|小奈子伊蕾娜|伊蕾娜|knd|2018|小气走|宵崎奏鬼叫
804,STD,右肩の蝶,STD,MASTER,13,13.1,140,FiNALE (輝),2019-01-25,否,
801,STD,フキゲンワルツ,STD,MASTER,13,13.2,210,FiNALE (輝),2019-01-11,否,
799,STD,片想いサンバ,STD,MASTER,13,13.2,150,FiNALE (輝),2019-01-11,否,
798,STD,Magical Sound Shower,STD,MASTER,13,13.4,120,FiNALE (輝),2019-01-11,否,
797,STD,不思議の国のクリスマス,STD,MASTER,13,13.3,128,FiNALE (輝),2018-12-25,否,不思議の国のクリスマス|圣诞节|不可思议|不思议国|秘封俱乐部|不思议|反海底谭|不思议之国|不思议之国的圣诞节
796,STD,金の聖夜霜雪に朽ちて,STD,MASTER,13,13.4,185,FiNALE (輝),2018-12-25,否,
795,STD,EVERGREEN,STD,MASTER,13,13.5,145,FiNALE (輝),2018-12-25,否,evergreen|长春|eg|一直绿|绿一色|长荣|绿色圆圈|青春永驻|永绿|常绿树|常青|常绿|常青树|长绿
790,STD,Money Money,STD,MASTER,13,13.2,145,FiNALE (輝),2018-12-13,否,money money|紫苑镇|来财|💰|马内马内|钱钱|moneymoney|钱钱钱钱钱|骂你骂你|金金金金金
781,STD,フィクサー,STD,MASTER,13,13.3,135,MiLK+ (雪),2018-11-20,否,フィクサー|黑山羊吃席|fixer|修人|黑暗海底谭|牛头人喝酒|黑山羊
779,STD,このピアノでお前を8759632145回ぶん殴る,STD,MASTER,13,13.4,200,MiLK+ (雪),2018-11-20,否,このピアノでお前を8759632145回ぶん殴る|1919810|钢琴打人|一串数字|我会用这架钢琴殴打你8759632145次|钢琴|钢琴殴打|一堆数字|用钢琴揍你8759632145回|钢琴砸人|8759632145|踢钢琴|砸钢琴
775,STD,ジンギスカン,STD,MASTER,13,13.3,150,MiLK+ (雪),2018-11-06,否,ジンギスカン|成吉思汗|watame|wtm|角卷绵芽|金金金金金
772,STD,あねぺったん,STD,MASTER,13,13.3,180,MiLK+ (雪),2018-10-16,否,あねぺったん|便当|假酒|月铃姐妹|姐姐好平|醋溜便当|彩绿便当歌
760,STD,ミラクルペイント,STD,MASTER,13,13.2,215,MiLK+ (雪),2018-08-21,否,
748,STD,Brain Power,STD,MASTER,13,13.4,170,MiLK+ (雪),2018-07-03,否,brain power|观星|脑力|bp|佐助|圣诞老头|地精老头|bass kick|o-oooooooooo|脑力量|地精小老头|o-ooooooo aaaa-e-a-a
747,STD,Seyana. ～何でも言うことを聞いてくれるアカネチャン～,STD,MASTER,13,13.3,144,MiLK+ (雪),2018-06-21,否,seyana. ～何でも言うことを聞いてくれるアカネチャン～|seyana|不管说什么都在听着的琴叶茜酱|小茜|说的事呢|sodayo|akane|琴叶茜
746,STD,FestivaLight,STD,MASTER,13,13.4,125,MiLK+ (雪),2018-06-21,否,festivalight|节日光|milked|festival light|雪代主题曲|三小只|魔法灯光夜|日服之光|三相之力|节日灯
743,DX/STD,ENERGY SYNERGY MATRIX,DX,MASTER,13,13.5,160,でらっくす (熊),2018-06-21,否,energy synergy matrix|标esm|esm|沙雕猫|esm跑|神经猫|恶俗猫|饿死猫|跑路猫|dxesm|傻吊猫|dxesm跑|邮政|一只猫拖着另一只猫跑
739,STD,アウターサイエンス,STD,MASTER,13,13.3,195,MiLK (白),2018-06-05,否,アウターサイエンス|次の|界外科学|outer science
727,STD,SPILL OVER COLORS,STD,MASTER,13,13.3,142,MiLK (白),2018-04-17,否,spill over colors|🎨|小脸妹|画板|soc|缠流子|sunnyduck|东云绘名|小画家|格蕾修|调色板|水手服小女孩画画
725,STD,Still,STD,MASTER,13,13.4,176,MiLK (白),2018-04-03,否,still|仍然|七对奈子
724,STD,TRUST,STD,MASTER,13,13.1,190,MiLK (白),2018-04-03,否,trust|足控|大脚丫子|脚歌|玉足|玉足冰棍|老冰棍|小仏凪吃雪糕|🦶|信任|狱卒|湿身少女翘脚吃冰糕|糯香柠檬茶|yokidou|合乎粥礼|光吉猛修唱歌
723,STD,猫祭り,STD,MASTER,13,13.4,160,MiLK (白),2018-04-03,否,猫祭り|哈祭咪|喵卷|学猫叫|猫抓板|😺|绝赞101|猫|洗面奶|喵喵喵喵|哈基米钻奈子|猫寄|猫祭|哈寄米
722,STD,キレキャリオン,STD,MASTER,13,13.1,170,MiLK (白),2018-03-20,否,キレキャリオン|乃保|切下|carry on|电锯娘|奶包|继续切|电锯女|电锯2|切下吧carryon|小电锯|kire carry on|电锯人|电锯
721,STD,ドクハク,STD,MASTER,13,13.4,208,MiLK (白),2018-03-20,否,ドクハク|独白|卜夕八夕|黑人抬棺|照相馆|⚰️|极恶|枪叔|棺材
719,DX/STD,ダンスロボットダンス,STD,MASTER,13,13.3,190,MiLK (白),2018-03-20,否,ダンスロボットダンス|👆🏻😑👇🏻|dance robot dance|dancerobotdance|跳舞机器人跳舞|机器人跳舞|☝😑👇|drd|小v|跳舞机器人|voidoll|↑↓|机器人舞|👆👇|舞蹈机器人舞蹈|舞蹈机器人|up side up side down
714,STD,共感覚おばけ,STD,MASTER,13,13.2,184,MiLK (白),2018-03-06,否,共感覚おばけ|共感觉|共感怪兽|共感觉怪物|共感怪物
708,STD,しねばいいのに,STD,MASTER,13,13,138,MiLK (白),2018-02-06,否,しねばいいのに|死了就好|明明死了就好了|鲤鱼王|死了算了|不如死了算了|死了一了百了|西内吧一诺尼|红鲤鱼与绿鲤鱼|要是死了就好了|西内|去死死算了|剁椒鱼头|死掉就好了|精神状态良好
705,STD,Signature,STD,MASTER,13,13.5,128,MiLK (白),2018-01-23,否,signature|签名卡|签名
701,STD,SPICY SWINGY STYLE,STD,MASTER,13,13.4,242,MiLK (白),2017-12-26,否,spicy swingy style|巨乳|大奶子|好大|果皇壮如牛|sss|高坂穗乃果
699,STD,Bang Babang Bang!!!,STD,MASTER,13,13.2,200,MiLK (白),2017-12-26,否,bang babang bang!!!|bbb|大奶子|太大了|邦邦邦邦|邦邦|bbbb|大胸|邦邦邦|大柰子
698,STD,アンノウン・マザーグース,STD,MASTER,13,13.3,222,MiLK (白),2017-12-14,否,アンノウン・マザーグース|不为人知的鹅妈妈童谣|鹅妈妈童谣|鹅妈妈|仁王盾|妈妈鹅|未知的母鹅|unknown mother goose|大鹅妈妈
697,STD,砂の惑星 feat. HATSUNE MIKU,STD,MASTER,13,13.3,95,MiLK (白),2017-12-04,否,砂の惑星 feat. hatsune miku|砂之惑星|划龙舟|沙之惑星|沙星|砂惑|砂之行星|砂星|砂の惑星|别急18|沙之行星|最速殿堂
694,DX/STD,Magical Flavor,DX,MASTER,13,13.2,98,CiRCLE (丸),2017-12-14,否,magical flavor|魔法味道|milk+op|白代主题曲|魔法风味|mf|别急27|galgame
694,DX/STD,Magical Flavor,STD,MASTER,13,13.3,98,MiLK (白),2017-12-14,否,magical flavor|魔法味道|milk+op|白代主题曲|魔法风味|mf|别急27|galgame
693,STD,咲キ誇レ常世ノ華,STD,MASTER,13,13.5,170,MiLK (白),2017-12-14,否,咲キ誇レ常世ノ華|常世|永远盛开在世上的灿烂花|咲華|常世华|常世之华
689,STD,ユビキリ,STD,MASTER,13,13.3,174,MURASAKi+ (菫),2017-08-10,否,ユビキリ|拉勾勾|勾指起誓|xql|舞萌爱情故事|勾手指|拉勾
686,STD,日本の米は世界一,STD,MASTER,13,13.3,138,MURASAKi+ (菫),2017-12-05,否,日本の米は世界一|水稻|日本米世界一|日本绝赞世界第一|东北大米世界第一|米米世界|kib青春版|日本大米世界第一|日本米|🌾|日本大米我狂炫|日本缺米世界一|必须要有金柯拉|金坷垃好处都有啥|金坷垃|日本农协宣传曲|日本米价世界一|日本农协
683,STD,白ゆき,STD,MASTER,13,13.4,210,MURASAKi+ (菫),2017-11-21,否,白ゆき|白雪|白夜行|美少女亲嘴|白雪歌送武判官归京|白yuki|女同亲嘴|月代雪
680,STD,My Dearest Song,STD,MASTER,13,13.3,145,MURASAKi+ (菫),2017-10-31,否,my dearest song|白奈|我最亲爱的乐曲|teravolt|母人拉大提琴|我爱歌|生日歌|大提琴|女人拉提琴
679,DX/STD,チルノのパーフェクトさんすう教室　⑨周年バージョン,STD,MASTER,13,13.4,175,MURASAKi+ (菫),2017-10-17,否,チルノのパーフェクトさんすう教室 ⑨周年バージョン|99|笨蛋教室|9周年教室|9周年|九周年|⑨|算数教室|baka|机厅几卡|9|9周年算数教室|dxbaka|dx琪露诺|琪露诺|新琪露诺教室
677,STD,妖精村の月誕祭 ～Lunate Elf,STD,MASTER,13,13.3,132,MURASAKi+ (菫),2017-10-17,否,妖精村の月誕祭 ～lunate elf|妖精村|月诞祭|大妖精|恋恋
673,STD,真・ハンサム体操でズンドコホイ,STD,MASTER,13,13.4,140,MURASAKi+ (菫),2017-09-19,否,真・ハンサム体操でズンドコホイ|四个人站着一个人躺着|憋笑挑战2|学园handsome|火鸡帅哥|体操|帅哥体操|深海男同|四个站着一个躺着|学园帅哥|哇酷哇酷|真体操|handsome体操
669,STD,曖昧mind,STD,MASTER,13,13.4,135,MURASAKi+ (菫),2017-09-07,否,曖昧mind|爱maimai|暧昧mind|暧昧|哮喘
668,STD,Limit Break,STD,MASTER,13,13.4,153,MURASAKi+ (菫),2017-09-07,否,limit break|界限打击|限制绝赞|lb|三角洲|三角洲行动|三角初华|限界突破|黄金大三角|三角符文|破限
666,STD,心象蜃気楼,STD,MASTER,13,13.4,190,MURASAKi+ (菫),2017-08-24,否,心象蜃気楼|心绮楼|心象|青岛地铁|心象晦气楼|心象楼|心象晨气楼|心象蜃气楼|心像楼|蜃气楼
665,STD,相思創愛,STD,MASTER,13,13.5,195,MURASAKi+ (菫),2017-08-24,否,相思創愛|相思創爱|相爱创思|相思|相思创爱|创创子|小米星
662,STD,KISS CANDY FLAVOR,STD,MASTER,13,13.4,146,MURASAKi+ (菫),2017-08-03,否,kiss candy flavor|小女孩福瑞|kcf|糖糖|亲甜滴|糖的味道|小红帽|亲糖口味|亲嘴糖
661,STD,ちがう!!!,STD,MASTER,13,13.4,181,MURASAKi+ (菫),2017-07-25,否,
660,DX/STD,バッド・ダンス・ホール,STD,MASTER,13,13.4,152,MURASAKi+ (菫),2017-07-25,否,バッド・ダンス・ホール|团长|小孩哥|bdh|糟糕透顶的舞厅|希望之花|坏舞厅|奥尔加|bad dance hall
659,STD,ARROW,STD,MASTER,13,13.3,131,MURASAKi+ (菫),2017-07-25,否,arrow|箭头|OW|箭|🏹|矢
654,STD,前前前世,STD,MASTER,13,13,190,MURASAKi+ (菫),2017-06-22,否,前前前世|推荐乐曲排行榜|你的名字|上上上辈子|韦一敏
652,STD,天国と地獄 -言ノ葉リンネ-,STD,MASTER,13,13.3,138,MURASAKi+ (菫),2017-06-22,否,天国と地獄 -言ノ葉リンネ-|天国地狱|言之叶轮回|天国与地狱
644,STD,炉心融解,STD,MASTER,13,13.2,165,MURASAKi (紫),2017-06-06,否,
641,STD,Phantasm Brigade,STD,MASTER,13,13.4,168,MURASAKi (紫),2017-05-11,否,phantasm brigade|pb|灵梦
640,STD,Club Ibuki in Break All,STD,MASTER,13,13.3,175,MURASAKi (紫),2017-05-11,否,club ibuki in break all|萃香跳舞|西瓜跳舞|ymn|东方年柄年中|小bbb|绝赞俱乐部
638,STD,幽闇に目醒めしは,STD,MASTER,13,13.3,120,MURASAKi (紫),2017-05-11,否,幽闇に目醒めしは|东方四个女人躺草地|幽暗目醒|幽暗|躺草坪|东方四女躺草地|幽目|在黑暗中醒来|目醒
637,DX/STD,Scream out! -maimai SONIC WASHER Edit-,DX,MASTER,13,13.5,174,でらっくす (熊),2017-05-11,否,scream out! -maimai sonic washer edit-|哈基咩|诹访子|赞不绝口|喊出来|美国紫妈|谷爱凌|青蛙子|哦哦，哦哦哦|嬉皮笑脸|微笑女人|dx赞不绝口|dx青蛙子|洩矢诹访子|微笑青蛙子
629,DX/STD,Imitation:Loud Lounge,STD,MASTER,13,13.4,145,MURASAKi (紫),2017-03-28,否,imitation:loud lounge|面具|丘丘人|呀哈哈|奇面族|面具娃娃
622,STD,ドキドキDREAM!!!,STD,MASTER,13,13.2,210,MURASAKi (紫),2017-02-21,否,ドキドキdream!!!|dokidoki|五对柰子
621,STD,GOODMEN,STD,MASTER,13,13.4,175,MURASAKi (紫),2017-02-21,否,goodmen|好汉歌|👍|👍🏻|好人|良麵|良面|良民|好男人
620,STD,私の中の幻想的世界観及びその顕現を想起させたある現実での出来事に関する一考察,STD,MASTER,13,13.4,175,MURASAKi (紫),2017-02-21,否,私の中の幻想的世界観及びその顕現を想起させたある現実での出来事に関する一考察|名字鬼长|名字很长|内心幻想世界观及相关事件考察|对现实的考察映照心中幻想世界
617,DX/STD,conflict,DX,MASTER,13,13.5,160,でらっくす (熊),2017-02-07,否,conflict|冲突|对立|公交车|🚌|bus|标准公交车|宫村|标公交车|dx公交车
613,STD,生きてるおばけは生きている,STD,MASTER,13,13.3,140,MURASAKi (紫),2017-01-24,否,生きてるおばけは生きている|活着的怪物会一直活着|生生|坟头蹦迪|欧巴给
612,STD,チュルリラ・チュルリラ・ダッダッダ！,STD,MASTER,13,13.3,220,MURASAKi (紫),2017-01-24,否,チュルリラ・チュルリラ・ダッダッダ！|啾噜哩啦啾噜哩啦哒哒哒|哒哒哒|告老师|jk结月缘|告状|告密教室|告密老师|ddd|结月缘杀人|暗杀教室|啾噜哩啦|ダッダッダ|秋露里拉|打小报告|啾噜哩啦·啾噜哩啦·哒哒哒|撒撒米糕大|宁宁二箱
