No.,分类,曲名,创作者,谱面,BPM,版本,别名
934,POPS & ANIME,I believe what you said,亜咲花「ひぐらしのなく頃に 業」,STD 2 | STD 5 | STD 9 | STD 11+,138,,
933,ゲキマイ,最強 the サマータイム!!!!!,曲：村カワ基成／歌：オンゲキシューターズ,STD 3 | STD 6 | STD 9+ | STD 12+,178,PARADISE LOST,
932,POPS & ANIME,FIRE BIRD,Roselia「バンドリ！ ガールズバンドパーティ！」,STD 3 | STD 5 | STD 9+ | STD 13+,150,,火鸟|烧鸡
931,POPS & ANIME,キズナミュージック♪,Poppin'Party「バンドリ！ ガールズバンドパーティ！」,STD 3 | STD 5 | STD 9 | STD 12,189,,kizuma music|kizuna
930,ORIGINAL,Spiral Fortune,Marpril,STD 3 | STD 6 | STD 9 | STD 13+,140,PARADISE LOST,
929,ORIGINAL,Glory Days,KMNZ,STD 3 | STD 5 | STD 10 | STD 12,155,PARADISE LOST,
928,ORIGINAL,妖怪ですから,ぼっちぼろまる,STD 3 | STD 6 | STD 9 | STD 13,180,PARADISE LOST,
927,ORIGINAL,Utopithm,memex,STD 3 | STD 6 | STD 10 | STD 13+,170,PARADISE LOST,
926,ORIGINAL,自分勝手Dazzling,星街すいせい（ホロライブ）,STD 3 | STD 5 | STD 9+ | STD 12,130,PARADISE LOST,自分胜手
925,ORIGINAL,Pre Paid Pog Punk Panic,Hercelot,STD 3 | STD 7 | STD 13 | STD 14,190,CHUNITHM NEW,ppppp|5p
924,ORIGINAL,Super Kitsch Mode,Avec Avec,STD 3 | STD 6 | STD 10 | STD 13+,174,CHUNITHM NEW,刻奇
923,ORIGINAL,Echoes,Aiobahn,STD 3 | STD 6 | STD 9+ | STD 13+,155,CHUNITHM NEW,
922,ORIGINAL,Fantasm,yuigot feat.菅野真衣,STD 3 | STD 6 | STD 10 | STD 13+,213,CHUNITHM NEW,
921,ORIGINAL,創世のコンツェルティーナ,大嶋啓之,STD 3 | STD 7 | STD 10+ | STD 13,142,CHUNITHM NEW,创世
920,ORIGINAL,ピュグマリオンの咒文,アリスシャッハと魔法の楽団,STD 3 | STD 6 | STD 11 | STD 14,190,CHUNITHM NEW,咒文
919,ORIGINAL,人生攻略☆Tips,れるりり feat.konoco,STD 3 | STD 5 | STD 9 | STD 11+,150,CHUNITHM NEW,人生攻略
918,ORIGINAL,夢路拍子,稲葉曇 feat.Rairu,STD 3 | STD 6 | STD 9+ | STD 12,143,CHUNITHM NEW,梦路拍子
917,ORIGINAL,コスモポップファンクラブ,ナユタン星人,STD 2 | STD 5 | STD 9+ | STD 12,129,CHUNITHM NEW,cosmo pop fanclub|cpfc|巴拉巴巴拉
916,ORIGINAL,蜘蛛の糸,きくお×cosMo＠暴走P feat.影縫英,STD 4 | STD 8+ | STD 13+ | STD 15,180,CHUNITHM NEW,蜘蛛丝|长城|不来方
915,ORIGINAL,STAR IN THE WORLD,片霧烈火,STD 3 | STD 6 | STD 10 | STD 12+,180,CHUNITHM NEW,
914,ORIGINAL,Crack,はるなば feat.すずしろ,STD 4 | STD 7 | STD 11 | STD 14,200,CHUNITHM NEW,
913,ORIGINAL,Give me Love♡,C.G mix feat. RINA,STD 3 | STD 5 | STD 9 | STD 11+,146,CHUNITHM NEW PLUS,给我爱|雌小鬼
912,ORIGINAL,Blazing Break,yksb feat.MiLO,STD 3 | STD 5 | STD 9+ | STD 13+,142,CHUNITHM NEW,
911,ORIGINAL,Ring,R Sound Design feat.向日葵,STD 3 | STD 5 | STD 8+ | STD 11+,132,CHUNITHM NEW,
910,ORIGINAL,DDDD,monaca:factory feat.NORISTRY,STD 3 | STD 6 | STD 9+ | STD 13,156,CHUNITHM NEW,4D
909,ORIGINAL,雪男,かねこちはる,STD 4 | STD 10 | STD 12 | STD 15,256,CHUNITHM NEW,蜜雪冰城|雪女|雪王
908,ORIGINAL,UltraNeon,eoll,STD 3 | STD 7+ | STD 11+ | STD 14,187,CHUNITHM NEW,
907,ゲキマイ,封焔の135秒,大国奏音,STD 4 | STD 8 | STD 13+ | STD 15,200,CHUNITHM NEW,封焰|135|激烈的打架场景
906,ゲキマイ,脳天直撃,黒沢ダイスケ VS 穴山大輔,STD 4 | STD 9 | STD 13 | STD 15,145,CHUNITHM NEW,脑天|脑天直击|nt|脑瘫
905,イロドリミドリ,召しませ！Rock'n Roll Party,イロドリミドリ,STD 2 | STD 6 | STD 10+ | STD 13,270,PARADISE LOST,
904,VARIETY,花たちに希望を,Sound piercer feat.DAZBEE,STD 4 | STD 7 | STD 10+ | STD 14,187,CHUNITHM NEW,花希望
903,VARIETY,BLUE ZONE,Tatsh x NAOKI,STD 3 | STD 7 | STD 10+ | STD 14+,168,CHUNITHM NEW,蓝色区域|蓝的区|蓝区
902,VARIETY,REDRAVE,Tatsh&NAOKI feat.Kent Alexander,STD 3 | STD 6 | STD 11+ | STD 14,165,CHUNITHM NEW,
901,VARIETY,ミュージック・リボルバー,世阿弥「ミュージックガンガン！2」,STD 3 | STD 7 | STD 11+ | STD 14+,168,CHUNITHM NEW,白左轮|左轮
900,VARIETY,DAZZLING♡SEASON,jun「CROSSxBEATS」,STD 3 | STD 7 | STD 9 | STD 13+,180,CHUNITHM NEW,
899,VARIETY,Satellite System ft.Diana Chiaki,GRATEC MOUR「CROSSxBEATS」,STD 4 | STD 7+ | STD 12+ | STD 14,128,CHUNITHM NEW,卫星系统|卫星
898,VARIETY,8OROCHI,REDALiCE「太鼓の達人」,STD 4 | STD 7+ | STD 12+ | STD 14,201,CHUNITHM NEW PLUS,八岐大蛇
897,VARIETY,Crimson Phoenix,xi vs MASAKI「グルーヴコースター」,STD 4 | STD 7+ | STD 13 | STD 14+,180,CHUNITHM NEW,凤凰
896,VARIETY,]-[|/34<#!,並木学（ナミキマナブ）「怒首領蜂大復活」,STD 4 | STD 8+ | STD 14 | STD 14+,225,,怒蜂|蜂|怒首领蜂|乱码歌|绯蜂|noob|乱码|牢蜂
895,VARIETY,SINister Evolution,TAK,STD 3 | STD 5 | STD 12 | STD 14+,149,CHUNITHM NEW,正弦|雅迪|雅迪电动车|sin|儿歌
894,niconico,二次元ドリームフィーバー,PolyphonicBranch,STD 4 | STD 6 | STD 10+ | STD 14,180,CHUNITHM NEW,
893,VARIETY,CHAOS,Æsir「Cytus Ⅱ」,STD 2 | STD 7 | STD 10 | STD 13+,150,CHUNITHM NEW,超死|傻逼|大粪|屎|粪便|超市
892,VARIETY,XL TECHNO -More Dance Remix-,from PACA PACA PASSION Special,STD 2 | STD 6 | STD 13+ | STD 14+,150,CHUNITHM NEW,特大
891,VARIETY,A Site De La Rue,KIEN (STREME REVERIE),STD 3 | STD 7 | STD 12+ | STD 15,186,CHUNITHM NEW,狗叫歌|狗叫|雅迪|asite
890,東方Project,ホイホイ☆幻想ホロイズム,COOL&CREATE × 宝鐘マリン with ホロイズムファンタジー,STD 3 | STD 6 | STD 10 | STD 13+,195,CHUNITHM NEW,
889,東方Project,キャプテン・ムラサのケツアンカー,ARM＋夕野ヨシミ (IOSYS) feat.山本椛,STD 3 | STD 6 | STD 9+ | STD 13,190,CHUNITHM NEW,
888,東方Project,"Little ""Sister"" Bitch",t+pazolite,STD 4 | STD 6 | STD 9+ | STD 13+,185,CHUNITHM NEW,小标志|小姐姐
887,東方Project,No Life Queen [DJ Command Remix],SOUND HOLIC Vs. Eurobeat Union feat. Nana Takahashi,STD 3 | STD 6 | STD 10 | STD 13,165,CHUNITHM NEW,
886,東方Project,Bad Apple!! feat.nomico (REDALiCE Remix),Masayoshi Minoshima × REDALiCE,STD 3 | STD 6 | STD 9+ | STD 12+,170,CHUNITHM NEW,
885,東方Project,ナイト・オブ・ナイツ (かめりあ’s“ワンス・アポン・ア・ナイト”Remix),ビートまりお × かめりあ,STD 3 | STD 7 | STD 10+ | STD 14,188,CHUNITHM NEW,夜骑|山茶花夜骑|花夜骑|花骑
884,niconico,深海のリトルクライ feat. 土岐麻子,sasakure.UK,STD 3 | STD 6 | STD 9+ | STD 13+,156,,
883,niconico,高音厨音域テスト,木村わいP,STD 4 | STD 6 | STD 8+ | STD 12,180,CHUNITHM NEW,
882,niconico,失敗作少女,かいりきベア・MARETU feat.初音ミク,STD 3 | STD 5 | STD 9 | STD 12+,235,CHUNITHM NEW,失败作少女
881,niconico,骸骨楽団とリリア,トーマ,STD 2 | STD 6 | STD 10 | STD 12+ | STD 14+,260,CHUNITHM NEW,骸骨乐团
880,niconico,ローリンガール,wowaka,STD 3 | STD 6 | STD 9 | STD 13,195,CHUNITHM NEW,rolling girl
879,niconico,セカイ,DECO*27×堀江晶太(kemu),STD 2 | STD 5 | STD 9+ | STD 12+,133,CHUNITHM NEW,sekai
878,niconico,拝啓、桜舞い散るこの日に,まふまふ,STD 3 | STD 6 | STD 9+ | STD 12+,186,,敬启2
877,niconico,心予報,Eve,STD 3 | STD 5 | STD 8+ | STD 12+,143,,心预报
876,niconico,電脳少女は歌姫の夢を見るか？,デスおはぎ,STD 3 | STD 6 | STD 10 | STD 14,240,CHUNITHM NEW,电脑少女
875,niconico,KING,Kanaria,STD 3 | STD 5 | STD 9 | STD 12,166,CHUNITHM NEW,哈哈你是王
874,niconico,ヴィラン,てにをは,STD 3 | STD 5 | STD 9+ | STD 13,102,CHUNITHM NEW,villain
873,POPS & ANIME,名前のない怪物,EGOIST CX系ノイタミナ「PSYCHO-PASS サイコパス」エンディングテーマ,STD 3 | STD 6 | STD 9 | STD 12+,180,,
872,POPS & ANIME,エクストラ・マジック・アワー,AKINO with bless4「甘城ブリリアントパーク」,STD 3 | STD 6 | STD 8+ | STD 12+,180,,
871,POPS & ANIME,廻廻奇譚,Eve TVアニメ「呪術廻戦」第1クールオープニングテーマ,STD 3 | STD 6 | STD 9 | STD 12,178,,回回奇谭
870,POPS & ANIME,GO! GO! MANIAC,放課後ティータイム「けいおん！！」,STD 3 | STD 6 | STD 10 | STD 13+,250,,ggm
869,POPS & ANIME,紅,X JAPAN [covered by 光吉猛修],STD 3 | STD 7 | STD 11 | STD 14+,156,,红
868,POPS & ANIME,夜に駆ける,YOASOBI,STD 2 | STD 5 | STD 9 | STD 11+,130,CHUNITHM NEW,夜驱
867,POPS & ANIME,残酷な天使のテーゼ,高橋洋子「新世紀エヴァンゲリオン」,STD 2 | STD 5 | STD 8 | STD 11,128,,残酷天使
866,POPS & ANIME,インフェルノ,Mrs. GREEN APPLE,STD 3 | STD 5 | STD 9+ | STD 12,185,,inferno|🔥
865,POPS & ANIME,猫 ～THE FIRST TAKE ver.～,DISH//,STD 1 | STD 4 | STD 8 | STD 11,77,,
864,POPS & ANIME,香水,瑛人,STD 2 | STD 4 | STD 7 | STD 10,122,,
863,POPS & ANIME,Yes! Party Time!!,島村卯月、渋谷 凛、本田未央、赤城みりあ、安部菜々「アイドルマスター シンデレラガールズ」,STD 3 | STD 5 | STD 9+ | STD 11+,148,PARADISE LOST,
862,POPS & ANIME,ザ・ライブ革命でSHOW！,星井美希、高槻やよい、菊地 真、双海亜美、双海真美、四条貴音「アイドルマスター」,STD 2 | STD 5 | STD 9 | STD 12,162,PARADISE LOST,
861,POPS & ANIME,No.1,DISH//「僕のヒーローアカデミア」,STD 3 | STD 6 | STD 9 | STD 11+,181,,str
860,ゲキマイ,アポカリプスに反逆の焔を焚べろ,cosMo＠暴走AlterEgo,STD 4 | STD 8 | STD 13+ | STD 15,222,PARADISE LOST,反逆焰|800块|八百块钱
859,ORIGINAL,再生不能,ろくろ feat.鹿乃,STD 3 | STD 8 | STD 10+ | STD 14,236,PARADISE LOST,再生低能
858,ORIGINAL,呪歌-JyuKa-,ガルナ(オワタP) feat.水槽,STD 3 | STD 6 | STD 9+ | STD 12+,160,PARADISE LOST,
857,ORIGINAL,Tattoo,みきとP feat. victream,STD 3 | STD 6 | STD 9 | STD 12+,155,PARADISE LOST,
856,ORIGINAL,Dark Diver,emon(Tes.) feat.ねんね,STD 3 | STD 5 | STD 8+ | STD 12+,136,PARADISE LOST,
855,ORIGINAL,ハルシナイト,かしこ。 feat.Cereus,STD 2 | STD 5 | STD 9 | STD 11+ | STD 13+,128,PARADISE LOST,
854,ORIGINAL,TECHNOPOLIS 2085,PRASTIK DANCEFLOOR,STD 2 | STD 7 | STD 12 | STD 14+,134,PARADISE LOST,雅迪|2085|啊🤪～啊🤪～啊咦😬啊咦😬啊→啊↑啊↓😨啊😰～嗯💥哎哎🤗哎哦哎嗯😋～哦哎🥳爱爱爱爱爱😍啊🤪～啊🤪～啊咦😬啊咦😬啊→啊↑啊↓😨啊😰～嗯💥嗯嗯👿滴嘚滴嘚😈唔😱嘟⬅️嘟↖️嘟⬆️嘟↗️嘟➡️嘟↘️嘟⬇️
853,niconico,セカイはまだ始まってすらいない,ピノキオピー / 初音ミク / ワンダーランズ×ショウタイム「プロジェクトセカイ カラフルステージ！ feat. 初音ミク」,STD 3 | STD 5 | STD 8+ | STD 12,138,PARADISE,
852,VARIETY,董卓討つべし,おもしろ三国志,STD 3 | STD 7 | STD 11+ | STD 14,140,PARADISE,董卓
851,VARIETY,ベースラインやってる？笑,かめりあ feat. ななひら,STD 3 | STD 5 | STD 10 | STD 14,128,PARADISE LOST,w|bassline|baseline
850,POPS & ANIME,Deep in Abyss,リコ（CV：富田美憂）、レグ（CV：伊瀬茉莉也）「メイドインアビス」,STD 2 | STD 5 | STD 8+ | STD 11+,135,,
849,ORIGINAL,[CRYSTAL_ACCESS],Blacklolita,STD 4 | STD 6 | STD 11 | STD 14+,160,CHUNITHM NEW,水晶通道|雅迪电动车
848,POPS & ANIME,Paradise Lost,茅原実里,STD 3 | STD 6 | STD 9+ | STD 12,165,,
847,VARIETY,真千年女王,しらいし,STD 4 | STD 8 | STD 12+ | STD 14+,160,PARADISE,
846,VARIETY,クロートーと星の観測者,しーけー,STD 4 | STD 6 | STD 10 | STD 14,230,PARADISE,观星者|星之观测者|观测者|星观测者
845,ゲキマイ,What color...,曲：NAOKI／歌：早乙女 彩華(CV：中島 唯),STD 2 | STD 6 | STD 10 | STD 12+,158,PARADISE LOST,
844,ゲキマイ,SWEET SHAKE!!,曲：佐藤純一（fhána）／歌：桜井 春菜(CV：近藤 玲奈),STD 2 | STD 5 | STD 9 | STD 12+,134,PARADISE LOST,
843,ゲキマイ,GranFatalité,曲：ZAQ／歌：柏木 咲姫(CV：石見 舞菜香),STD 3 | STD 6 | STD 9+ | STD 13+,240,PARADISE LOST,
842,ゲキマイ,GAME IS LIFE,曲：ヒゲドライバー／歌：井之原 小星(CV：ももの はるな),STD 3 | STD 6 | STD 10 | STD 13,160,PARADISE LOST,
841,ORIGINAL,祈 -我ら神祖と共に歩む者なり-,光吉猛修 VS 穴山大輔 VS Kai VS 水野健治 VS 大国奏音,STD 6 | STD 10 | STD 14+ | STD 15+,219,PARADISE LOST,雅迪|祈|老登
840,VARIETY,BATTLE NO.1,TANO*C Sound Team,STD 4 | STD 9+ | STD 12 | STD 14+,200,PARADISE LOST,打架第一名|战地一
839,ゲキマイ,BLACK ROSE,S!N・+α/あるふぁきゅん。×ALI PROJECT,STD 2 | STD 5 | STD 9+ | STD 12,145,PARADISE LOST,
838,ゲキマイ,福宿音屋魂音泉,魂音泉,STD 3 | STD 6 | STD 10 | STD 12+,162,PARADISE LOST,
837,ゲキマイ,ここからはじまるプロローグ。,ああああ,STD 2 | STD 5 | STD 10 | STD 13+,182,PARADISE LOST,
836,イロドリミドリ,正体判明ネームレスガール,HaNaMiNa feat.Minae,STD 3 | STD 6 | STD 9+ | STD 13+,190,PARADISE LOST,
835,POPS & ANIME,異世界かるてっと,アインズ（CV：日野 聡）、カズマ（CV：福島 潤）、スバル（CV：小林裕介）、ターニャ（CV：悠木 碧）「異世界かるてっと」,STD 3 | STD 5 | STD 9+ | STD 12+,148,PARADISE LOST,
834,ORIGINAL,X7124,Silentroom,STD 4 | STD 10 | STD 14 | STD 15,180,PARADISE LOST,香草|0721|7124|EXTRA
833,ORIGINAL,Elemental Ethnic,Yooh,STD 3 | STD 8 | STD 12+ | STD 14+,163,PARADISE LOST,狗叫机关枪|香草|老公|元素民族
832,ORIGINAL,Blessed Rain,ぺのれり,STD 3 | STD 7+ | STD 12+ | STD 14+,216,PARADISE LOST,祝福雨|干什么！
831,ORIGINAL,月詠に鳴る,Feryquitous feat.藍月なくる,STD 3 | STD 7 | STD 10+ | STD 14,180,PARADISE LOST,月咏
830,ORIGINAL,C & B,PSYQUI feat.Such,STD 3 | STD 7+ | STD 11+ | STD 14,170,PARADISE LOST,踩踩背|ccb|踩背|c&b
829,イロドリミドリ,ケ・セラ・セラ奇想曲,HaNaMiNa,STD 3 | STD 7 | STD 10 | STD 13,190,PARADISE LOST,
828,東方Project,ポーカーフェイス,少女フラクタル,STD 3 | STD 6 | STD 9+ | STD 14,170,PARADISE LOST,
827,東方Project,はたてのバッコイ殺人事件,ARM＋夕野ヨシミ (IOSYS) feat.miko,STD 3 | STD 6 | STD 10 | STD 13+,160,PARADISE LOST,
826,東方Project,Earthquake Super Shock,SOUND HOLIC feat. Nana Takahashi,STD 3 | STD 6 | STD 9 | STD 12+,175,PARADISE LOST,
825,東方Project,ふぃーばー,Silver Forest,STD 2 | STD 5 | STD 8+ | STD 11+,136,PARADISE LOST,
824,niconico,惑星ループ,ナユタン星人,STD 3 | STD 5 | STD 8+ | STD 11+,170,PARADISE LOST,行星环
823,niconico,こちら、幸福安心委員会です。,うたたP,STD 2 | STD 6 | STD 11 | STD 13+,128,PARADISE LOST,幸福安心委员会
822,niconico,アンドロイドガール,DECO*27,STD 3 | STD 6 | STD 10 | STD 13+,192,PARADISE LOST,安卓少女
821,ORIGINAL,Blazing:Storm,かゆき,STD 4 | STD 8+ | STD 12+ | STD 15,165,PARADISE LOST,火男|bs
820,ORIGINAL,"Athlete Killer ""Meteor""",LamazeP feat.月乃,STD 3 | STD 7+ | STD 10+ | STD 14,185,CHUNITHM NEW,akm|硅胶歌|鬼叫歌|诶啊啊
819,ORIGINAL,つっぱれ！にゃんきー魂,Neko Hacker feat.うごくちゃん,STD 3 | STD 6 | STD 10+ | STD 13+,160,PARADISE LOST,
818,ORIGINAL,萌豚♥功夫♥大乱舞,李 龟琍椏 feat.娜娜苤來,STD 4 | STD 7+ | STD 10+ | STD 13+,144,PARADISE LOST,臀萌|臀萌大飞舞
817,ORIGINAL,Charlatan,煮ル果実×びす,STD 2 | STD 6 | STD 9+ | STD 13,145,PARADISE LOST,
816,ORIGINAL,おいでよ！ 高須らいむランド,柏木るざりん feat.青葉りんご,STD 3 | STD 5 | STD 9 | STD 12+ | STD 14+,170,PARADISE LOST,
815,ORIGINAL,レイニーカラー・ウォーターカラー,烏屋茶房 feat.利香,STD 2 | STD 5 | STD 8 | STD 11+,142,PARADISE LOST,
814,ゲキマイ,"Good bye, Merry-Go-Round.",Yooh,STD 4 | STD 7 | STD 12+ | STD 14+,185,PARADISE LOST,旋转木马|旋转木妈
813,ゲキマイ,the EmpErroR,sasakure.UK,STD 5 | STD 7+ | STD 13 | STD 14+,240,CHUNITHM NEW,皇帝|emperor|the emperor|jmt
812,イロドリミドリ,Over Heart,芒崎 奏(CV:立花 理香),STD 2 | STD 6 | STD 9+ | STD 13+,140,PARADISE LOST,
811,イロドリミドリ,なんかノイズにきこえる,HaNaMiNa feat.Hana,STD 3 | STD 6 | STD 8+ | STD 13,158,PARADISE LOST,
810,東方Project,Wizdomiot,LeaF,STD 4 | STD 7 | STD 12 | STD 15,200,PARADISE LOST,dna|wiz
809,niconico,サクリファイス,まふまふ,STD 3 | STD 7 | STD 9+ | STD 13,192,,
808,POPS & ANIME,もってけ!セーラーふく,泉こなた（CV.平野 綾）、柊かがみ（CV.加藤英美里）、柊つかさ（CV.福原香織）、高良みゆき（CV.遠藤 綾）「らき☆すた」,STD 3 | STD 6 | STD 9 | STD 12,155,,
807,POPS & ANIME,脳裏上のクラッカー,ずっと真夜中でいいのに。,STD 2 | STD 5 | STD 8 | STD 11+,128,,
806,POPS & ANIME,Phantom Joke,UNISON SQUARE GARDEN,STD 3 | STD 6 | STD 10 | STD 13+,200,,
805,POPS & ANIME,君のせい,the peggies「青春ブタ野郎はバニーガール先輩の夢を見ない」,STD 3 | STD 6 | STD 9+ | STD 11+,174,,
804,VARIETY,ぷよぷよのうた ピコピコミックス,あんどうりんご（CV:今井麻美）「ぷよぷよ!!」,STD 3 | STD 6 | STD 8+ | STD 13+,155,PARADISE LOST,
803,POPS & ANIME,歩いていこう！,東山奈央「恋する小惑星」,STD 1 | STD 4 | STD 8 | STD 11,97,,
802,POPS & ANIME,町かどタンジェント,shami momo（吉田優子・千代田桃）／CV：小原好美・鬼頭明里「まちカドまぞく」,STD 3 | STD 6 | STD 9 | STD 11+,165,,街角魔族
801,VARIETY,BUCHiGiRE Berserker,REDALiCE vs MASAKI「グルーヴコースター」,STD 4 | STD 9+ | STD 13+ | STD 14+,200,PARADISE,狂战士
800,VARIETY,Lemegeton -little key of solomon-,Team Grimoire vs MASAKI「グルーヴコースター」,STD 3 | STD 9+ | STD 13 | STD 14+,185,PARADISE,所罗门|所罗门的小钥匙
799,VARIETY,SKYSCRAPER,Dr. ARM (IOSYS)「グルーヴコースター」,STD 2 | STD 6 | STD 10+ | STD 13+,140,PARADISE,
798,VARIETY,DX超性能フルメタル少女,IOSYS TRAX (uno with.ちよこ)「グルーヴコースター」,STD 3 | STD 7 | STD 11 | STD 14,160,PARADISE,超纵连少女
797,VARIETY,LINK LINK FEVER!!!,リンカ (CV: 豊田萌絵)「グルーヴコースター」,STD 3 | STD 6 | STD 9+ | STD 11+,182,PARADISE,
796,イロドリミドリ,恋はりんりん☆あーりんベル,御形 アリシアナ(CV:福原 綾香),STD 3 | STD 5 | STD 9 | STD 12+,170,CHUNITHM NEW PLUS,
795,ゲキマイ,Technicians High,HiTECH NINJA,STD 3 | STD 6 | STD 11+ | STD 14,165,CHUNITHM NEW,科技高
794,イロドリミドリ,Everything For A Reason,イロドリミドリ,STD 3 | STD 6 | STD 10 | STD 13+,147,PARADISE,
793,POPS & ANIME,甲賀忍法帖,陰陽座,STD 3 | STD 5 | STD 9 | STD 12+,178,,
792,ORIGINAL,赤壁、大炎上！！,Cranky feat.おもしろ三国志,STD 4 | STD 9+ | STD 13 | STD 15,200,PARADISE,大炎上|赤壁大炎上|刘备|刘备手|赤壁|猩猩毕业考
791,ORIGINAL,《本能》 ～ ReCoda,Spiegel vs Yukino,STD 3 | STD 8 | STD 10+ | STD 14+,156,PARADISE,本能
790,ORIGINAL,《選別》 ～ Refuge,Iris,STD 3 | STD 7+ | STD 11+ | STD 14,160,PARADISE,选别
789,ORIGINAL,《信仰》 ～ Eudaimonia,空氣載體 The AirCarrier,STD 3 | STD 7 | STD 11 | STD 13+,180,PARADISE,信仰
788,ORIGINAL,《投影》 ～ Oh My Baby Doll,Ring feat.SLSMusic,STD 3 | STD 6 | STD 10 | STD 14,120,PARADISE,投影
787,ORIGINAL,《狂乱》 ～ Cataclysm,3R2 as Katzeohr,STD 3 | STD 6 | STD 11+ | STD 13+,155,PARADISE,狂乱
786,イロドリミドリ,MELtin' 17,桔梗 小夜曲(CV:原田 彩楓),STD 3 | STD 6 | STD 10 | STD 14,175,PARADISE,
785,東方Project,LOVE EAST,暁Records,STD 2 | STD 6 | STD 9+ | STD 12+,168,PARADISE,
784,東方Project,しゅわスパ大作戦☆,SOUND HOLIC feat. Nana Takahashi,STD 2 | STD 5 | STD 9 | STD 13,140,PARADISE,
783,東方Project,疾走あんさんぶる,ビートまりお（COOL&CREATE）,STD 3 | STD 7 | STD 11+ | STD 13+,195,PARADISE,
782,POPS & ANIME,キラメキライダー☆,hololive IDOL PROJECT,STD 3 | STD 5 | STD 8+ | STD 12+,182,,
781,POPS & ANIME,Shiny Smily Story,hololive IDOL PROJECT,STD 3 | STD 5 | STD 8 | STD 11+,168,PARADISE,
780,niconico,白ゆき,n-buna,STD 3 | STD 6 | STD 9+ | STD 13,210,PARADISE,白雪
779,niconico,スターナイトスノウ,n-buna × Orangestar,STD 3 | STD 5 | STD 9 | STD 12+,180,PARADISE,星夜之雪
778,niconico,ぽかぽかの星,はるまきごはん,STD 1 | STD 5 | STD 7+ | STD 10+,114,PARADISE,
777,niconico,愛されなくても君がいる,ピノキオピー,STD 3 | STD 5 | STD 8+ | STD 12+,150,PARADISE,
776,POPS & ANIME,モノノケ・イン・ザ・フィクション,嘘とカメレオン「虚構推理」,STD 3 | STD 6 | STD 9 | STD 12+,195,,
775,ORIGINAL,ANU,sasakure.UK VS 穴山大輔,STD 4 | STD 9+ | STD 13+ | STD 15,240,PARADISE,阿牛|阿奴|澳洲国立大学
774,ORIGINAL,Parad'ox,Potwi,STD 3 | STD 7+ | STD 12 | STD 14+,168,PARADISE,paradox|大佛冷|悖论
773,ORIGINAL,Insane Gamemode,pan vs 7mai,STD 3 | STD 7 | STD 11 | STD 14,133,PARADISE,ig
772,ORIGINAL,Just You,サルケバ,STD 3 | STD 6 | STD 10+ | STD 13+,190,PARADISE,
771,ORIGINAL,宙の隣,くるぶっこちゃん,STD 3 | STD 6 | STD 11 | STD 14,130,PARADISE,宙之邻
770,イロドリミドリ,Jack the GAME,藤堂 陽南袴(CV:八島 さらら),STD 3 | STD 6 | STD 10 | STD 13+,145,PARADISE,
769,ORIGINAL,Paqqin (tpz Despair Remix),owl＊tree／t+pazolite,STD 4 | STD 8 | STD 12 | STD 14+,240,PARADISE,paqqintpz|怕亲
768,ゲキマイ,Viyella's Tears,Laur,STD 4 | STD 9 | STD 13 | STD 15,218,PARADISE,维也纳之泪|眼泪|vt|小圆|小圆射箭
767,ゲキマイ,Alea jacta est!,BlackY fused with WAiKURO,STD 3 | STD 8 | STD 13 | STD 14+,162,PARADISE,黑人|黑人打架|击剑
766,東方Project,ナイト・オブ・ナイツ (USAO Remix),ビートまりお × USAO,STD 3 | STD 7 | STD 11 | STD 14,205,PARADISE,兔夜骑|夜骑|usao夜骑
765,niconico,ベノム,かいりきベア,STD 3 | STD 6 | STD 9 | STD 12+,152,PARADISE,猛毒
764,niconico,アンクローズ・ヒューマン,作曲：カジャ　作詞：傘村トータ　編曲：ねじ式　調声：シリア,STD 3 | STD 6 | STD 9+ | STD 13+,178,PARADISE,unclose human
763,niconico,彗星ハネムーン,ナユタン星人,STD 2 | STD 5 | STD 8 | STD 11+,145,PARADISE LOST,彗星蜜月
762,niconico,ドラマツルギー,Eve,STD 3 | STD 5 | STD 10 | STD 12,149,PARADISE,拟剧论
761,POPS & ANIME,真赤な誓い,福山芳樹「武装錬金」,STD 3 | STD 6 | STD 9+ | STD 12+,185,,
760,POPS & ANIME,だから僕は音楽を辞めた,ヨルシカ,STD 2 | STD 5 | STD 7+ | STD 11+,125,PARADISE,
759,POPS & ANIME,ごまかし,TrySail,STD 3 | STD 6 | STD 8 | STD 12,189,,
758,POPS & ANIME,Pretender,Official髭男dism,STD 2 | STD 5 | STD 8 | STD 11,92,,
757,VARIETY,AttraqtiA,かめりあ「Arcaea」,STD 4 | STD 8 | STD 13 | STD 14+,202,PARADISE,大杯|雅迪|attr|att
756,VARIETY,Arcahv,Feryquitous「Arcaea」,STD 3 | STD 7+ | STD 11+ | STD 14,191,PARADISE,arcaea
755,VARIETY,Cyaegha,USAO「Arcaea」,STD 4 | STD 8 | STD 11 | STD 14,200,PARADISE,绿魔王|咲弥|老婆|塞伊格亚
754,ORIGINAL,Last Celebration,Laur vs CK,STD 4 | STD 9+ | STD 12+ | STD 14+,238,PARADISE,lc
753,ORIGINAL,B100d Hunter,DIVELA feat.いゔどっと,STD 3 | STD 8 | STD 11 | STD 14+,164,PARADISE,血猎|blood hunter|血猎人|寻血猎犬|b100
